Prolific ID,condition,round,X Task,Y Task,X Revenue,Y Revenue,ratio,Corner,task_share1,task_share2,task_share3,task_share4,IOS_Human_same,IOS_Human_different,IOS_AI_same,IOS_AI_different,Hs_like,Hd_like,AIs_like,AId_like,Hs_care,Hd_care,AIs_care,AId_care,Improvement_scores1,Improvement_scores2,Writing,Practical Guidance,Technical Help,Seeking Information,Multimedia,Expression and Interaction,Other_Use,Functional_Tool,Smart_Assistant,Collaborative_Partner,Knowledge_Consultant,Social_Companion,Big_Tech,Potential_Risk_Threat,Not_Use_GenAI,Other_Relations,use AI at work,use AI out of work,AI_days1,AI_days2,AI_hours1,AI_hours2
558b20eefdf99b7dfdbac3c9,1,1,100.0,0.0,1.0,0.35,0.0,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,2,10.0,90.0,0.2,0.8,0.1,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,3,53.0,47.0,0.62,0.59,0.47000000000000125,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,4,100.0,0.0,0.99,0.67,0.0,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,5,50.0,50.0,0.8,0.8,,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,6,100.0,0.0,1.0,0.25,0.0,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,7,50.0,50.0,0.6,0.6,,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,8,25.0,75.0,0.39,0.8,0.25,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,9,81.0,19.0,0.8,0.39,0.19000000000000014,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,10,1.0,99.0,0.35,1.0,0.010000000000000087,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,11,69.0,31.0,0.74,0.5,0.3099999999999999,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,12,0.0,100.0,0.25,1.0,0.0,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,13,24.0,76.0,0.78,0.82,0.240000000000002,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
558b20eefdf99b7dfdbac3c9,1,14,30.0,70.0,0.5,0.74,0.3000000000000001,,50.68181818181818,52.40909090909091,54.0,51.54545454545455,4,3,1,1,4,4,4,4,4,4,4,4,16,18,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0,1
